entry_date,entry_price,trigger_price,days_to_liquidation,max_drawdown_after_entry_pct,min_price_after_entry,min_price_date
2010-06-29,4.78,3.824,4,32.64,3.22,2010-07-06
2010-06-30,4.77,3.816,3,32.49,3.22,2010-07-06
2010-07-01,4.39,3.512,2,26.65,3.22,2010-07-06
2010-07-02,3.84,3.072,,17.71,3.16,2010-07-07
2010-07-06,3.22,2.576,,1.86,3.16,2010-07-07
2010-07-07,3.16,2.528,,0.0,3.16,2010-07-07
2010-07-08,3.49,2.792,,2.29,3.41,2010-07-12
2010-07-09,3.48,2.784,,2.01,3.41,2010-07-12
2010-07-12,3.41,2.728,,0.0,3.41,2010-07-12
2010-07-13,3.63,2.904,,3.03,3.52,2010-08-12
2010-07-14,3.97,3.176,,11.34,3.52,2010-08-12
2010-07-15,3.98,3.184,,11.56,3.52,2010-08-12
2010-07-16,4.13,3.304,,14.77,3.52,2010-08-12
2010-07-19,4.38,3.504,,19.63,3.52,2010-08-12
2010-07-20,4.06,3.248,,13.3,3.52,2010-08-12
2010-07-21,4.04,3.232,,12.87,3.52,2010-08-12
2010-07-22,4.2,3.36,,16.19,3.52,2010-08-12
2010-07-23,4.26,3.408,,17.37,3.52,2010-08-12
2010-07-26,4.19,3.352,,15.99,3.52,2010-08-12
2010-07-27,4.11,3.288,,14.36,3.52,2010-08-12
2010-07-28,4.14,3.312,,14.98,3.52,2010-08-12
2010-07-29,4.07,3.256,,13.51,3.52,2010-08-12
2010-07-30,3.99,3.192,,11.78,3.52,2010-08-12
2010-08-02,4.18,3.344,,15.79,3.52,2010-08-12
2010-08-03,4.39,3.512,,19.82,3.52,2010-08-12
2010-08-04,4.25,3.4,,17.18,3.52,2010-08-12
2010-08-05,4.09,3.272,,13.94,3.52,2010-08-12
2010-08-06,3.92,3.136,,10.2,3.52,2010-08-12
2010-08-09,3.92,3.136,,10.2,3.52,2010-08-12
2010-08-10,3.81,3.048,,7.61,3.52,2010-08-12
2010-08-11,3.58,2.864,,1.68,3.52,2010-08-12
2010-08-12,3.52,2.816,,0.0,3.52,2010-08-12
2010-08-13,3.66,2.928,,0.0,3.66,2010-08-13
2010-08-16,3.76,3.008,,0.27,3.75,2010-08-18
2010-08-17,3.83,3.064,,2.09,3.75,2010-08-18
2010-08-18,3.75,3.0,,0.0,3.75,2010-08-18
2010-08-19,3.76,3.008,,0.0,3.76,2010-08-19
2010-08-20,3.82,3.056,,0.0,3.82,2010-08-20
2010-08-23,4.03,3.224,,4.71,3.84,2010-08-24
2010-08-24,3.84,3.072,,0.0,3.84,2010-08-24
2010-08-25,3.98,3.184,,2.01,3.9,2010-08-31
2010-08-26,3.95,3.16,,1.27,3.9,2010-08-31
2010-08-27,3.94,3.152,,1.02,3.9,2010-08-31
2010-08-30,3.97,3.176,,1.76,3.9,2010-08-31
2010-08-31,3.9,3.12,,0.0,3.9,2010-08-31
2010-09-01,4.09,3.272,,4.4,3.91,2010-09-23
2010-09-02,4.21,3.368,,7.13,3.91,2010-09-23
2010-09-03,4.21,3.368,,7.13,3.91,2010-09-23
2010-09-07,4.11,3.288,,4.87,3.91,2010-09-23
2010-09-08,4.18,3.344,,6.46,3.91,2010-09-23
2010-09-09,4.14,3.312,,5.56,3.91,2010-09-23
2010-09-10,4.03,3.224,,2.98,3.91,2010-09-23
2010-09-13,4.14,3.312,,5.56,3.91,2010-09-23
2010-09-14,4.22,3.376,,7.35,3.91,2010-09-23
2010-09-15,4.4,3.52,,11.14,3.91,2010-09-23
2010-09-16,4.19,3.352,,6.68,3.91,2010-09-23
2010-09-17,4.05,3.24,,3.46,3.91,2010-09-23
2010-09-20,4.21,3.368,,7.13,3.91,2010-09-23
